"outlet","time","title","url"
"BG",2016-01-18,"Cruz takes aim at New Hampshire voters for upcoming tour","https://www.bostonglobe.com/news/politics/2016/01/18/cruz-takes-aim-new-hampshire-voters-for-upcoming-tour/gp5HPdzuqkJ4ql0EwJjBdI/story.html"
"BG",2016-01-18,"After morning snow. dropping temperatures and gusts to hit","https://www.bostonglobe.com/metro/2016/01/18/snow-continue-into-morning-commute/MVqed5LJeygvjcQBSNKoaO/story.html"
"BG",2016-01-18,"Sanders' outrage í¢ŒóŒî his greatest strength and weakness","https://www.bostonglobe.com/opinion/2016/01/19/sanders-outrage-his-greatest-strength-and-weakness/Qfa22Fhb8qjRs4OWdglhOJ/story.html"
"BG",2016-01-18,"Hillary Clinton readies for a long slog against Sanders","https://www.bostonglobe.com/news/politics/2016/01/18/hillary-clinton-readies-for-long-slog-against-sanders/awIg3IwHYxCh5MG873fUgO/story.html"
"BG",2016-01-18,"Bernie Sanders becomes unlikely leader of a youth movement","https://www.bostonglobe.com/metro/2016/01/18/bernie-sanders-unlikely-appeal-college-students/muC3jazXBjXv7myW1wKOtL/story.html"
"BG",2016-01-18,"Bernie Sanders' outrage is his greatest strength í¢ŒóŒî and weakness","https://www.bostonglobe.com/opinion/2016/01/18/bernie-sanders-outrage-his-greatest-strength-and-his-greatest-weakness/cdwP4R4CbR7GhqniwIwo6M/story.html"
"BG",2016-01-18,"Bernie Sanders doesn't get how politics works","https://www.bostonglobe.com/opinion/2016/01/18/bernie-sanders-doesn-get-how-politics-works/GYDR7MTl0Vu3TSAHRMWipJ/story.html"
"BG",2016-01-18,"Activists. elected officials honor King's legacy","https://www.bostonglobe.com/news/politics/2016/01/18/king-legacy-honored-annual-breakfast/MjXdx8Jupu2o7C7qrFcuUK/story.html"
"BG",2016-01-18,"Expect a different Patriots-Broncos game this time around","https://www.bostonglobe.com/sports/2016/01/18/expect-different-patriots-broncos-game-this-time-around/MJ8MKfF2ioKf7zRD8xtjvN/story.html"
"BG",2016-01-18,"Glenn Frey. 67; Eagles guitarist. singer. songwriter","https://www.bostonglobe.com/metro/obituaries/2016/01/18/eagles-founder-glenn-frey-dead/OMvf7n5IOcGcHNadKlZhzL/story.html"
"BG",2016-01-18,"Musicians. other celebs react to death of Glenn Frey","https://www.bostonglobe.com/arts/2016/01/18/musicians-other-celebs-react-death-glenn-frey/Ir0XECFe0LqsqMtBb4NqTO/story.html"
"BG",2016-01-18,"Patriots Replay: Key plays from win over Chiefs","https://www.bostonglobe.com/sports/2016/01/18/patriots-replay-key-plays-from-win-over-chiefs/SKpb0ojLEsBexEJ4MRYxzI/story.html"
"BG",2016-01-18,"No worries. just another trip to AFC title game for Patriots","https://www.bostonglobe.com/sports/2016/01/16/worries-just-another-trip-afc-title-game/Ph2bbsc9VOWcitv6ThqnHK/story.html"
"BG",2016-01-18,"US ambassador to Israel slams government settlements policy","https://www.bostonglobe.com/news/world/2016/01/18/ambassador-israel-slams-government-settlements-policy/mEvWYTaqx5TyuzlXEwQlqO/story.html"
"BG",2016-01-18,"Search off Hawaii finds rafts but no sign of missing Marines","https://www.bostonglobe.com/metro/2016/01/18/search-off-hawaii-finds-life-rafts-but-sign-missing-marines/AVlM61AdLrKxRU2I9KOHuM/story.html"
"BG",2016-01-18,"Ohio. Utah police officers slain; one suspect in custody. another killed","https://www.bostonglobe.com/news/nation/2016/01/18/ohio-utah-police-officers-slain-one-suspect-custody-another-killed/c5O5lRvRL8uDgQt4Sdo1GP/story.html"
"BG",2016-01-18,"Donald Trump pledges bond with Christians in Liberty University ...","https://www.bostonglobe.com/news/nation/2016/01/18/trump-promises-protect-christianity-bush-calls-for-education-overhaul/qK5qeSKP4NPLPAWwhinPQM/story.html"
"BG",2016-01-18,"Singer Don McLean arrested","https://www.bostonglobe.com/lifestyle/names/2016/01/19/more-celebrity-news/MbdqVqqZf8lsxnFyx88cnK/story.html"
"BG",2016-01-18,"'American Pie' singer Don McLean arrested on domestic violence ...","https://www.bostonglobe.com/metro/2016/01/18/american-pie-singer-don-mclean-arrested-domestic-violence-charge/mW6xbaq6aMEk6ZlXoW0xKI/story.html"
"BG",2016-01-18,"David Bowie changed celebrity","https://www.bostonglobe.com/arts/2016/01/18/sound-vision/GYvLhC1bOewCyqFRogHyqK/story.html"
"BG",2016-01-18,"Deal reached to limit NYC horse carriage operations","https://www.bostonglobe.com/news/nation/2016/01/18/deal-reached-limit-nyc-horse-carriage-operations/snDUqxvt2TT3GLPHP2y5dM/story.html"
"BG",2016-01-18,"Manmade heat put in oceans has doubled since 1997","https://www.bostonglobe.com/news/world/2016/01/18/manmade-heat-put-oceans-has-doubled-since/iEUuX3ZAlOeCEV2SK5CmzM/story.html"
"BG",2016-01-18,"Dominick Cruz defeats TJ Dillashaw at UFC Fight Night in Boston","https://www.bostonglobe.com/sports/2016/01/18/cruz-defeats-dillashaw-ufc-fight-night-boston/89YNl0YCR6WWaCjJDLOKZN/story.html"
"BG",2016-01-18,"Chiefs say they had headset issue vs. Patriots","https://www.bostonglobe.com/sports/2016/01/17/chiefs-say-they-had-headset-issue-during-game/g1jDAPzJop8EVNFpjz5QPN/story.html"
"BG",2016-01-18,"Severe cold strikes Northern Plains. Great Lakes regions","https://www.bostonglobe.com/news/nation/2016/01/18/severe-cold-strikes-northern-plains-great-lakes-regions/olvKUK7R3XR595bDpuiztJ/story.html"
"BG",2016-01-18,"Bloody battles come to Causeway with UFC Fight Night","https://www.bostonglobe.com/sports/2016/01/17/ufc/m8tvA960VGf3hzNHpL6aLO/story.html"
"BG",2016-01-18,"Biogen gets European OK for rheumatoid arthritis drug","https://www.bostonglobe.com/business/2016/01/18/european-approval-for-generic-arthritis-drug-gives-biogen-entree-into-biosimilar-market/SAegAu6J2eH9FTwBRE2gtI/story.html"
"BG",2016-01-18,"Suspect in Dominican Republic officer killing caught in Mass.","https://www.bostonglobe.com/metro/2016/01/17/suspect-dominican-republic-officer-killing-captured-lowell/6IGRXRZftFOkp6wuP1oaaN/story.html"
"BG",2016-01-18,"Mass. lawmakers to hear proposal for extra tax on wealthy","https://www.bostonglobe.com/metro/2016/01/18/mass-lawmakers-hear-proposal-for-extra-tax-wealthy/8ZgybzlGfUFofJ18U2uJuI/story.html"
"BG",2016-01-18,"Police seek charges against marijuana advocate","https://www.bostonglobe.com/metro/2016/01/18/police-seek-charges-against-marijuana-legalization-advocate-records-say/OQNZ5Ru5mM6XtbDPM1dTLN/story.html"
"BG",2016-01-18,"Future of Tewksbury Redmen mascot up for debate","https://www.bostonglobe.com/metro/2016/01/18/tewksbury-redmen-more-high-school-mascot-for-debate/C0oCYtlV2SeXDoZRSyp5UO/story.html"
"BG",2016-01-18,"Tracing autism. from past to present","https://www.bostonglobe.com/arts/books/2016/01/19/tracing-autism-from-past-present/1EuH5YGAwXrCaRcnnw0DUM/story.html"
"BG",2016-01-18,"71-year-old activist arrested in Worcester","https://www.bostonglobe.com/metro/2016/01/18/year-old-activist-arrested-worcester/kLHUi92RntPJyPY9e1fvHM/story.html"
"BG",2016-01-18,"Call for new gun limits doesn't resonate in NH","https://www.bostonglobe.com/metro/2016/01/18/candidates-use-gun-control-play-party-base/QRZTNggSihNySYKfOTCnJO/story.html"
"BG",2016-01-18,"The path to perfect pot roast","https://www.bostonglobe.com/lifestyle/food-dining/2016/01/18/the-path-perfect-pot-roast/2KSssKjwOMoLNWRZBdGIkI/story.html"
"BG",2016-01-18,"Patriots paved road to Denver with debacle in Miami","https://www.bostonglobe.com/sports/2016/01/17/shaughnessy/kxgbcXHF581mg1fdc0iKKN/story.html"
"BG",2016-01-18,"Patriots must once again prepare for Peyton Manning","https://www.bostonglobe.com/sports/2016/01/18/josh-mcdaniels-matt-patricia-appear-staying-put/4NdRgODXXZCpfCXbwbSaZL/story.html"
"BG",2016-01-18,"In Libya. US struggles to find allies to counter ISIS","https://www.bostonglobe.com/news/world/2016/01/18/libya-struggles-find-allies-counter-isis/8zR6Mit6V4n4XtaSHMufEO/story.html"
"BG",2016-01-18,"Critic's Corner: What's on TV Wednesday","https://www.bostonglobe.com/arts/television/2016/01/18/what/MLDXCLSVnMpE1n0L7k1hyM/story.html"
"BG",2016-01-18,"Death at Wilmington nursing home raises new questions","https://www.bostonglobe.com/metro/2016/01/18/death-resident-after-nursing-home-accident-raises-new-concerns-about-company/opPd0TMprgB21WN8Wmd6ZI/story.html"
"BG",2016-01-18,"Recording of MLK speech discovered at Amherst College","https://www.bostonglobe.com/metro/2016/01/18/lost-mlk-speech-found-amherst-college/YjEji51kxuk8jGxPiarfXN/story.html"
"BG",2016-01-18,"Recipe for Turkish chicken and rice soup","https://www.bostonglobe.com/lifestyle/food-dining/2016/01/18/turkish-chicken-and-rice-soup/81sLAhiQ7vVttOw50AurvN/story.html"
"BG",2016-01-18,"Lidia Bastianich talks food and its meaning","https://www.bostonglobe.com/lifestyle/food-dining/2016/01/18/lidia-bastianich-talks-food-and-its-meaning/OyYssnNPz2mEXsMajXyklM/story.html"
"BG",2016-01-18,"BC hockey coach Jerry York on brink of a grand achievement","https://www.bostonglobe.com/sports/2016/01/18/hockey-coach-jerry-york-one-win-away-from/S2laIBcrSLhGYC2isFqysI/story.html"
"BG",2016-01-18,"'I Hear a Pickle (and Smell. See. Touch. and Taste It. Too!)' by ...","https://www.bostonglobe.com/arts/books/2016/01/19/short-stack-hear-pickle-and-smell-see-touch-and-taste-too-rachel-isadora/dObUjOaNAgJb1axWArkupM/story.html"
"BG",2016-01-18,"Home is where the art is at the Danforth","https://www.bostonglobe.com/arts/theater-art/2016/01/19/home-where-art-danforth/I7m4WaUT9RKbrOoxutGgfO/story.html"
