"outlet","time","title","url"
"BH",2014-03-17,"'The Walking Dead': Kill your darlings","http://www.bostonherald.com/entertainment/television/love_that_tv/2014/03/the_walking_dead_kill_your_darlings"
"BH",2014-03-17,"Lottery winner held on $5M bail for sex abuse charges","http://www.bostonherald.com/news_opinion/local_coverage/2014/03/lottery_winner_held_on_5m_bail_for_sex_abuse_charges"
"BH",2014-03-17,"Darrelle Revis: 'I felt like this was the right place'","http://www.bostonherald.com/sports/patriots_nfl/the_blitz/2014/03/darrelle_revis_i_felt_like_this_was_the_right_place"
"BH",2014-03-17,"Brandon Spikes on playing Pats: I expect 'to be in tears the entire ...","http://www.bostonherald.com/sports/patriots_nfl/the_blitz/2014/03/brandon_spikes_on_playing_pats_i_expect_to_be_in_tears_the"
"BH",2014-03-17,"Quinlivans, Shrewsbury create own memories","http://www.bostonherald.com/sports/high_school/2014/03/quinlivans_shrewsbury_create_own_memories"
"BH",2014-03-17,"Air Canada suspends Venezuela flights over unrest","http://www.bostonherald.com/news_opinion/international/americas/2014/03/air_canada_suspends_venezuela_flights_over_unrest"
"BH",2014-03-17,"woman dies at Mass. gun range","http://www.bostonherald.com/news_opinion/local_coverage/2014/03/rhode_island_woman_dies_at_mass_gun_range"
"BH",2014-03-17,"Mass. Sec. Galvin: Extend heat shut-off moratorium","http://www.bostonherald.com/business/business_markets/2014/03/mass_sec_galvin_extend_heat_shut_off_moratorium"
"BH",2014-03-17,"The Soap Scene: Cady McClain, Kirsten Storms and more","http://www.bostonherald.com/entertainment/television/television_news/2014/03/the_soap_scene_cady_mcclain_kirsten_storms_and_more"
"BG",2014-03-17,"Anthony Davis, Pelicans outlast Celtics","https://www.bostonglobe.com/sports/2014/03/16/pelicans-anthony-davis-has-points-rebounds-win-celtics/X5nX473xWJtxKyyQJAMXHO/story.html"
"BG",2014-03-17,"Big day for Sizemore as Red Sox defeat Cards","https://www.bostonglobe.com/sports/2014/03/17/big-day-for-grady-sizemore-red-sox-beat-cards/zzVBN0eRt6b1YzDvZwyBnN/story.html"
"BG",2014-03-17,"Hospital plans study on chocolate","https://www.bostonglobe.com/lifestyle/health-wellness/2014/03/16/brigham-researchers-test-cocoa-supplements-and-multivitamins-large-clinical-trial/dGaqskp0KScy802rJVR7QO/story.html"
"BG",2014-03-17,"Higher cost of keeping warm a drag on economy","https://www.bostonglobe.com/business/2014/03/16/heating-bills-rise-putting-squeeze-consumers-economy/pWTm1qYhMZ6Q4nVpttpQxO/story.html"
"BG",2014-03-17,"New host Dorcena Forry spices storied breakfast","https://www.bostonglobe.com/metro/2014/03/16/dorcena-forry-puts-her-own-stamp-storied-patrick-day-breakfast-roast/hGdIEnkwYamHPBh1mb7hqJ/story.html"
"BG",2014-03-17,"Notre Dame stuns BC to win deciding game","https://www.bostonglobe.com/sports/2014/03/16/notre-dame-stuns-win-deciding-game/9KQelH1ZFhtQhwAINpPSrL/story.html"
"BG",2014-03-17,"Judge will rule on Justina Pelletier case this week","https://www.bostonglobe.com/metro/2014/03/17/judge-will-rule-this-week-whether-justina-pelletier-can-home/Hbo9GKhtAYTw6spCuDMnVK/story.html"
"BG",2014-03-17,"The future of face and hand transplants","https://www.bostonglobe.com/lifestyle/health-wellness/2014/03/16/organ-transplant-leaders-creating-national-system-allocate-hands-faces-disfigured-patients/h0VLdmJ7S4CGIUjHIEYEIO/story.html"
"BG",2014-03-17,"Plans announced for new Franklin Park Zoo project","https://www.bostonglobe.com/2014/03/17/plans-announced-for-new-franklin-park-zoo-exhibit/tozcc3chJMwidBeQIEFaIM/story.html"
"BG",2014-03-17,"Watch: 'The Voice' contestant Kristen Merlin","https://www.bostonglobe.com/2014/03/17/youtube-clip/HrAB46uMaIURBcF52TIfWI/story.html"
"BG",2014-03-17,"Patricia Campatelli should resign ’¢Î—Î” or courts must remove her","https://www.bostonglobe.com/opinion/editorials/2014/03/16/patricia-campatelli-should-resign-courts-must-remove-her/56TTtvNSyO5YvHMcMbIyJP/story.html"
"BG",2014-03-17,"Todd English's NYC Olives taken over by the Gerber Group","https://www.bostonglobe.com/lifestyle/names/2014/03/17/todd-english-nyc-olives-taken-over-gerber-group/lI9sc0FG1DwZSm6MWHAP9K/story.html"
"BG",2014-03-17,"Markey challenger files ethics complaint over Herbalife probe","https://www.bostonglobe.com/news/politics/2014/03/17/gop-challenger-files-senate-ethics-complaint-against-markey-over-herbalife-probe/BAUv77y1PA888A1GtJDFQP/story.html"
"BG",2014-03-17,"Warp Drive is on hunt for natural gen-based treatments","https://www.bostonglobe.com/business/2014/03/16/warp-drive-hunt-for-natural-gen-based-treatments/JOxl4FTdzqzi3OZ8e3Jj2L/story.html"
"BG",2014-03-17,"In Anatsui's art, rescued trash comes to life, tells a story","https://www.bostonglobe.com/arts/theater-art/2014/03/16/anatsui-art-rescued-trash-comes-life-tells-story/FSNeGaVdmxBa11l8ivoekI/story.html"
"BG",2014-03-17,"BSO spotlights Beethoven in transition","https://www.bostonglobe.com/arts/music/2014/03/16/bso-spotlights-beethoven-transition/XxdgOJoIN8Zl0ecTl4WhhI/story.html"
"BG",2014-03-17,"Missing Malaysian plane: Summary of what's known","https://www.bostonglobe.com/news/world/2014/03/17/missing-malaysian-plane-summary-what-known/Z0ygN56dBmPbpdwwhLNxZI/story.html"
"BG",2014-03-17,"Patriots take a look at receiver Kenny Britt","https://www.bostonglobe.com/sports/2014/03/17/patriots-taking-look-receiver-kenny-britt/nhbxi0Gum1kxA2fzQb8boJ/story.html"
"BG",2014-03-17,"Crimea declares independence","https://www.bostonglobe.com/news/world/2014/03/17/russia-calls-ukraine-federal-state/X3ipImb0DIelYk4PsRfmNP/story.html"
"BG",2014-03-17,"Fannie Mae, Freddie Mac: Learning to live with zombies","https://www.bostonglobe.com/opinion/2014/03/16/fannie-mae-freddie-mac-learning-live-with-zombies/DPnFPxBUiR4m3Wr2mVF1KP/story.html"
"NT",2014-03-17,"L'Wren Scott, Whose Designs Melded Daring and Sophistication ...","http://www.nytimes.com/2014/03/18/nyregion/lwren-scott-found-dead-in-manhattan-apartment.html"
"NT",2014-03-17,"Phil Jackson Returns to Knicks With Long To-Do List","http://www.nytimes.com/2014/03/18/sports/basketball/phil-jackson-returns-to-knicks-with-long-to-do-list.html"
"NT",2014-03-17,"State Senate Rejects Bill Granting Tuition Aid to Illegal Immigrants","http://www.nytimes.com/2014/03/18/nyregion/new-york-senate-rejects-measure-to-give-illegal-immigrants-state-tuition-aid.html"
"NT",2014-03-17,"Nets Miss Garnett but Keep Winning Without Him","http://www.nytimes.com/2014/03/18/sports/basketball/nets-miss-garnett-but-keep-winning-without-him.html"
"NT",2014-03-17,"Cardinal Dolan to Lobby for Tax Credit That Rewards Donations to ...","http://www.nytimes.com/2014/03/18/nyregion/cardinal-dolan-heading-to-albany-to-push-for-education-tax-credit.html"
"NT",2014-03-17,"Death of Brooklyn Boy Latest in Spate as City Turns to Traffic Safety","http://www.nytimes.com/2014/03/18/nyregion/child.html"
"NT",2014-03-17,"A Broken Military Justice System","http://www.nytimes.com/2014/03/18/opinion/a-broken-military-justice-system.html"
"NT",2014-03-17,"Suit Alleges Developer Violated Civil Rights","http://www.nytimes.com/2014/03/18/nyregion/suit-alleges-developer-violated-civil-rights.html"
"NT",2014-03-17,"The Rangers' Scoring Slump Includes the Player Acquired to Lift the ...","http://www.nytimes.com/2014/03/18/sports/hockey/rangers-scoring-slump-includes-martin-st-louis-acquired-to-lift-the-offense.html"
"NT",2014-03-17,"Ticket Pricing Puts 'Lion King' Atop Broadway's Circle of Life","http://www.nytimes.com/2014/03/17/theater/ticket-pricing-puts-lion-king-atop-broadways-circle-of-life.html"
"NT",2014-03-17,"String of High Notes for Pianist","http://www.nytimes.com/2014/03/18/arts/music/pianist-jeremy-denk-to-receive-avery-fisher-prize.html"
"NT",2014-03-17,"Three Years of Strife and Cruelty Puts Syria in Free Fall","http://www.nytimes.com/2014/03/18/world/middleeast/three-years-of-strife-and-cruelty-put-syria-in-tailspin.html"
"NT",2014-03-17,"In the New York Senate, Playing a Game of Legislative Fantasy","http://www.nytimes.com/2014/03/18/nyregion/in-the-new-york-senate-playing-a-game-of-legislative-fantasy.html"
"NT",2014-03-17,"Billionaire's Sprawling Compound Challenges a Village's Mellow ...","http://www.nytimes.com/2014/03/18/nyregion/billionaires-sprawling-compound-challenges-a-villages-mellow-ethos.html"
"NT",2014-03-17,"The Challenge: How to Keep Fusion Going Long Enough","http://www.nytimes.com/2014/03/18/science/the-challenge-how-to-keep-fusion-going-long-enough.html"
"NT",2014-03-17,"Squeezing the Milky Way Into a Photo","http://www.nytimes.com/2014/03/18/science/squeezing-the-milky-way-into-a-photo.html"
"NT",2014-03-17,"Manhattan Doesn't Have to Look Far for Its Talent","http://www.nytimes.com/2014/03/18/sports/ncaabasketball/manhattan-doesnt-have-to-look-far-for-its-talent.html"
"NT",2014-03-17,"Shoukhrat Mitalipov's Mitochondrial Manipulations","http://www.nytimes.com/2014/03/18/science/shoukhrat-mitalipovs-mitochrondrial-manipulations.html"
"NT",2014-03-17,"Walter Kirn's Memoir About Befriending a Fraud","http://www.nytimes.com/2014/03/18/books/walter-kirns-blood-will-out.html"
"NT",2014-03-17,"Culinary Schools Speed the Rise of Hopeful Chefs","http://www.nytimes.com/2014/03/18/education/culinary-schools-speed-the-rise-of-hopeful-chefs.html"
"NT",2014-03-17,"New York City FC Coach Learning Manchester Way","http://www.nytimes.com/2014/03/18/sports/soccer/new-york-city-fc-coach-jason-kreis-learning-manchester-way.html"
